Timestamp,Email address,name -,Occupation –,Have you ever heard about cybersecurity threats?,Have you ever encountered any cyber threat? ,"If yes, what type of cyber threat did you experience? ",Which of the following are common cyber threats?,Do you use the same password for multiple accounts?,Do you use two-factor authentication (2FA)?,What steps do you take to prevent cyber threats?,,,Do you think cybersecurity awareness should be taught in schools/colleges?,What suggestions would you give to improve cybersecurity awareness?
04/03/2026 10:21:00,rahulgupta41@gmail.com,Rahul Gupta,Employee,no,Yes,"Hacking, Online Scam",Weak Passwords,Sometimes,Yes,Do not share OTP/password,Once a year,Yes,Yes,Spread awareness on social media
04/03/2026 17:31:00,nehagupta156@gmail.com,Neha Gupta,Student,Yes,Yes,"Malware/Virus, Online Scam",Phishing Emails,Yes,No,Use strong passwords,Once a year,Yes,Yes,Conduct cybersecurity workshops
04/03/2026 17:44:00,sagarmore551@gmail.com,Sagar More,Student,Yes,No,Online Scam,Weak Passwords,Sometimes,No,Avoid suspicious links,Monthly,No,Yes,
06/03/2026 08:12:00,adityapatil427@gmail.com,Aditya Patil,Self-employed,no,Yes,Malware/Virus,"Phishing Emails, Fake Websites",Yes,Yes,Enable 2FA,Never,No,Yes,Teach cybersecurity in schools
06/03/2026 21:03:00,sagarmore816@gmail.com,Sagar More,Self-employed,Yes,No,Online Scam,Fake Websites,No,Yes,Avoid suspicious links,Monthly,Yes,Yes,
07/03/2026 20:56:00,sagarmore60@gmail.com,Sagar More,Employee,Yes,Yes,"Hacking, Online Scam",Fake Websites,Yes,Yes,"Use strong passwords, Enable 2FA",Monthly,Yes,Yes,
05/03/2026 06:39:00,amitpatil520@gmail.com,Amit Patil,Self-employed,no,No,"Hacking, Online Scam",Fake Websites,Sometimes,No,Avoid suspicious links,Every 3–6 months,No,Yes,Teach cybersecurity in schools
06/03/2026 15:14:00,priyakale800@gmail.com,Priya Kale,Employee,Yes,Yes,Malware/Virus,Fake Websites,Yes,Yes,"Use strong passwords, Enable 2FA, Avoid suspicious links",Once a year,Yes,Yes,
05/03/2026 22:47:00,nikhiljoshi794@gmail.com,Nikhil Joshi,Student,Yes,Yes,Malware/Virus,All of the above,No,No,"Use strong passwords, Enable 2FA",Once a year,No,Yes,
05/03/2026 21:23:00,priyakale695@gmail.com,Priya Kale,Student,no,No,Malware/Virus,All of the above,No,No,Avoid suspicious links,Once a year,No,Yes,
05/03/2026 00:13:00,rahulgupta257@gmail.com,Rahul Gupta,Employee,Yes,No,"Malware/Virus, Online Scam","Phishing Emails, Fake Websites",Yes,Yes,"Use strong passwords, Enable 2FA",Monthly,Yes,Yes,
07/03/2026 12:08:00,adityapatil518@gmail.com,Aditya Patil,Self-employed,Yes,No,Hacking,Fake Websites,Yes,No,"Use strong passwords, Enable 2FA, Avoid suspicious links",Every 3–6 months,Yes,Yes,Spread awareness on social media
05/03/2026 20:13:00,priyakale373@gmail.com,Priya Kale,Student,Yes,Yes,Cyberbullying,Weak Passwords,Yes,Yes,Do not share OTP/password,Monthly,No,Yes,
07/03/2026 09:47:00,priyakale363@gmail.com,Priya Kale,Employee,no,No,Hacking,Weak Passwords,Yes,No,Use strong passwords,Monthly,No,Yes,
04/03/2026 23:23:00,sagarmore290@gmail.com,Sagar More,Self-employed,Yes,Yes,Identity Theft,"Phishing Emails, Fake Websites",No,No,"Use strong passwords, Enable 2FA, Avoid suspicious links",Once a year,No,Yes,
05/03/2026 10:52:00,priyakale74@gmail.com,Priya Kale,Self-employed,Yes,No,Malware/Virus,"Phishing Emails, Fake Websites",Yes,Yes,"Install antivirus software, Avoid suspicious links",Once a year,Yes,Yes,
05/03/2026 08:07:00,amitpatil162@gmail.com,Amit Patil,Self-employed,no,Yes,"Hacking, Online Scam",Phishing Emails,No,No,"Install antivirus software, Avoid suspicious links",Every 3–6 months,No,Yes,
06/03/2026 21:03:00,sagarmore138@gmail.com,Sagar More,Self-employed,no,Yes,Online Scam,Phishing Emails,Sometimes,No,"Install antivirus software, Avoid suspicious links",Monthly,Yes,Yes,Conduct cybersecurity workshops
